Beginner,2003,1998
Samy Deluxe,1998,1999,2001,2004,2005,2009,2011,2012
Fischmob,1998
Fünf Sterne deluxe,1998
Die Firma,1998,1999,2001,2002,2005,2007
Fettes Brot,2001,1998
Die 3. Generation,2004,1998
Hausmarke,1998
Max,1998
Kinderzimmer Productions,2002,2004,1998,1999
RAG,1998
Curse,1998,2001,2002,2003,2006,2008
Future Rock,1998
Luxus Chris,1998
Te,1998
Aphroe,1998
Rotzlöffel,1998
Schivv,1998
Gianni,2001,1998,1999
Scope,1998
Fast Forward,1998
Hans Sølo,1998
Cora E.,1998
Too Strong,2001,2003,1998,1999
Moses Pelham,2012,2004,1998
Spax,2003,1998
Roey Marquis II.,2003,1998
Stieber Twins,1998
Harvy Dent,1998
Tone,2002,1998
Azad,1998,2001,2002,2004,2005,2006,2007,2009
Freundeskreis,1998,1999
DJ Stylewarz,2002,1998
D-Flame,1998,2001,2002,2003,2006
Torch,2008,1998
James Last,1998
Der Wolf,1998
Total Chaos,1998
Toni-L,1998
Lord Scan,1998
Billy Allen,1998
Main Concept,2003,2005,1998
Der Lange,1998,1999
Dike,1998
Wyclef Jean,1998
Dj Thomilla,1998,1999
David Pe,1998
Mele Mel,1998
Scorpio,1998
Smudo,1998
Das Bo,2006,1998
Ferris MC,1998,1999,2001,2002,2003,2004
David P.,2002,1998
Die Fantastischen Vier,1999
Jan Delay,1999,2001,2006,2008,2009
Dennis Dubplate,1999
Joy Denalane,2001,2004,1999
Blumentopf,2001,2003,1999
Crème De La Crème,1999
DJ Tomekk,2002,2005,1999
Grandmaster Flash,1999
Afrob,2001,2012,1999
Flavor Flav,1999
MC Rene,2005,1999
Massive Töne,2002,2005,1999
Dynamite Deluxe,2008,1999
Texta,2002,2004,1999
M.I.K.E.,1999
ZM Jay,1999
Waxolutionists,1999
Taktloss,2004,2005,1999
KKS,1999
Pachel,1999
Galla,1999
Lakman,1999
Emek,1999
Axl,1999
Lenny,1999
Rick Ski,2001,1999
DJ Mirko,1999
Kool Savas,1999,2001,2002,2004,2005,2007,2008,2009,2011,2014
Doppelkopf,1999
Illmat!c,2004,1999
Lecker Sachen,1999
DJ Lifeforce,1999
Die coolen Säue,1999
Justus,2002,1999
Deborah,1999
Sleepwalker,2001
