Beginner,25183
Samy Deluxe,11959
Fischmob,37917
Die Firma,18832
Fettes Brot,12800
Hausmarke,403521
Kinderzimmer Productions,47931
Curse,12202
Future Rock,73604
Luxus Chris,46977
Aphroe,13669
Rotzlöffel,1018816
Schivv,12223
Fast Forward,13670
Cora E.,13674
Too Strong,13815
Moses Pelham,31306
Spax,76849
Roey Marquis II.,36527
Stieber Twins,13655
Azad,11829
Freundeskreis,20970
DJ Stylewarz,44980
D-Flame,12484
Torch,12735
James Last,59269
Der Wolf,375406
Total Chaos,354699
Toni-L,13520
Lord Scan,26284
Main Concept,47715
Dike,77775
Wyclef Jean,467
Scorpio,70851
Smudo,79284
Das Bo,12450
Ferris MC,12483
Die Fantastischen Vier,21467
Jan Delay,12512
Dennis Dubplate,302350
Joy Denalane,8495
Blumentopf,1189
DJ Tomekk,5413
Grandmaster Flash,6267
Flavor Flav,226
MC Rene,13294
Massive Töne,21873
Dynamite Deluxe,16194
Texta,380024
ZM Jay,1946143
Waxolutionists,58409
Taktloss,13767
Rick Ski,1776393
Kool Savas,11830
Doppelkopf,18790
Illmat!c,373926
DJ Lifeforce,2694504
Justus,17390
Mr. Schnabel,14093
Valezka,12454
Melbeatz,8147
Nico Suave,12811
Beatfabrik,13281
Dendemann,17681
Tefla & Jaleel,13622
Digger Dance,337957
Phillie MC,377266
Eko Fresh,12455
Max Herre,12776
Moqui Marbles,609780
Fader Gladiator,45600
Boulevard Bou,13590
Der Klan,119296
Nesti,335910
B-Tight,16082
Bushido,12338
Sonny Black,3173789
Sido,12073
Kurupt,170
Tatwaffe,13672
G-Style,12617
Optik Crew,1051904
Deichkind,36209
Taïro,16030
Prinz Porno,2163806
Bendt,24045
MB1000,366438
Plattenpapzt,150119
DJ Radrum,82546
Moabit,1478728
Kid Kobra,12622
Fler,12840
Italo Reno,22828
Stress,22832
ASD,40769
Seeed,14217
Die Sekte,31525
Mesut,13289
Creutzfeld & Jakob,31128
Tobi Tobsen,76851
Pal One,12446
Clueso,24257
Rhymin Simon,34133
Summer Cem,12078
Jonesmann,12857
Sezai,68532
Absztrakkt,20543
Morlockk Dilemma,18144
Pyranja,36461
DCS,219543
Fumanschu,119053
Gris,20634
Nina Hagen,31286
Separate,13548
Lumidee,8591
Jack Orsen,161905
Franky Kubrick,12623
Beatlefield,30843
Tony D,8183
Olli Banjo,11839
CeeLo Green,4413
Deine Lieblingsrapper,406346
Ercandize,12621
Kollegah,12077
Culcha Candela,204982
Raptile,9959
Alpa Gun,17856
Cassandra Steen,12434
Frauenarzt,12887
MC Bogy,35295
Favorite,12500
Denyo,26173
Casper,12089
Sentino,19129
High Society,1065603
Pillath,37910
Snaga,12079
Lakmann,50453
Shiml,24169
King Orgasmus One,13055
Serk,43495
Fiva,44606
Shizoe,25370
Marsimoto,13796
Chakuza,16715
Prinz Pi,12011
Slick One,14352
Shok Muzik,2007053
Muhabbet,242391
Braheem,1587984
Manuellsen,17826
K.I.Z,1304
Adel Tawil,31527
Peter Fox,852
Massiv,12885
Rapsoul,455218
Mach One,13052
Massimo,11981
Snaga & Pillath,38870
Bizzy Montana,14316
Gentleman,2983
Marteria,12463
Karel Gott,173238
Fard,12074
Silbermond,12447
Kitty Kat,19249
Imbiss Bronko,390803
KAAS,12629
Sizzlac,12624
Westernhagen,100945
Plan B,1463
Maeckes,12216
Caput,12619
MoTrip,12620
Kobra,66539
LAAS,12841
Jifusi,12626
Phreaky Flave,12627
Patrice,21717
Doreen,24042
Scooter,31528
Grüne Medizin,208174
XATAR,16572
Joe Rilla,55428
Hanybal,25929
Decino,1587985
Juvel,28025
Farid Bang,12076
KC Rebell,20442
Jaysus,23136
Die Atzen,54976
Nate57,12305
Skero,221204
Rafik,121132
Koljah,35698
NMZS,45348
Panik Panzer,51084
Danger Dan,24783
Huss und Hodn,12369
RAF Camora,12767
257ers,19470
Herr von Grau,13717
Hollywood Hank,13393
Gzuz,18534
Amewu,20633
Dame,26054
Celo & Abdi,19125
Haftbefehl,12452
DNP,16471
Alligatoah,15506
Timi Hendrix,12886
Silla,13434
Sarah Gad,327186
Thees Uhlmann,20338
Moe Phoenix,20441
Sa4,35296
Money Boy,13383
Nazar,12056
RAF 3.0,2303294
Fatoni,26316
Juse Ju,91048
Pimpulsiv,16473
Sudden,16472
Audio88,20553
Yassin,52894
Hiob,25523
CRO,14536
Miss Platnum,12511
Yasha,12501
Veysel,20847
Genetikk,15329
Kurdo,20337
Trailerpark,26447
Moop Mama,79129
Kontra K,31792
Kay One,14238
Käptn Peng,55274
Schwesta Ewa,23075
Megaloh,12396
SSIO,20482
DCVDNS,17966
Lance Butters,21464
Die Orsons,12217
Bass Sultan Hengzt,13363
Kraftklub,18691
Shindy,18236
Die Tentakel von Delphi,1683130
Elmo,18700
Dú Maroc,29157
OK KID,45026
Julian Williams,12485
Bausa,80616
Telly Tellz,13173
Chefket,17651
Alex Prince,15684
Olexesh,30628
Bonez MC,18537
Ali As,29396
Antilopen Gang,52487
KALIM,36373
Majoe,17456
Teesy,58156
SpongeBOZZ,43254
Retrogott,43653
KutMasta Kurt,7855
Karate Andi,81779
