id,classifier,sentiment,toxicity
3320511, 7, 1, -1
651834, 0, -1, 1
3664528, 0, 1, 1
6897437, 1, 1, -1
3584733, 5, -1, 1
2469015, 8, -1, -1
2486476, 2, -1, 1
702766, 2, -1, 1
2849349, 8, -1, -1
4865817, 1, 1, -1
4917861, 1, -1, -1
4012419, 1, -1, -1
1882021, 1, 1, -1
2903790, 0, 1, 1
4079498, 7, 1, -1
2955430, 2, 1, 1
4057983, 1, -1, -1
4224362, 1, 1, -1
2421946, 2, -1, 1
146017, 2, -1, 1
2433156, 2, -1, 1
2441236, 2, -1, 1
8583797, 0, -1, 1
55050, 2, -1, 1
2395567, 0, -1, 1
3132627, 2, -1, 1
176337, 3, -1, 1
668156, 8, -1, 1
372439, 5, -1, 1
3725099, 2, -1, 1
4948490, 2, -1, 1
1786188, 5, -1, 1
280275, 1, 1, -1
241222, 0, 1, 1
4235694, 2, -1, 1
5873687, 8, -1, -1
2284179, 5, -1, 1
6015921, 8, -1, -1
279758, 8, -1, 1
157700, 8, 1, -1
199034, 8, -1, -1
2295865, 5, 1, -1
4425477, 7, 1, -1
4903884, 0, -1, -1
6014745, 7, 1, -1
8126645, 8, -1, -1
497149, 1, -1, 1
2408550, 8, 1, -1
2797554, 7, -1, -1
213936, 0, 1, -1
5313781, 2, -1, -1
3987240, 7, 1, -1
5505479, 7, 1, -1
6506424, 7, 1, 1
176879, 0, 1, 1
4811868, 2, -1, 1
6063094, 8, 1, -1
2296350, 2, -1, 1
94397, 8, -1, 1
232308, 8, -1, -1
4419013, 8, 1, -1
5940673, 8, 1, -1
2827715, 8, -1, 1
137447, 8, 1, 1
737911, 8, -1, -1
138202, 8, -1, -1
2477458, 8, 1, -1
2369799, 8, -1, -1
